Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Solar Power [Errata],Scene x2 - Swift Action,"The user loses a Tick of Hit Points, and gains a bonus to the triggering damage roll equal to 5 + their Tick Value. Solar Power may be activated ignoring Frequency while in Sunny Weather.",The user rolls Damage,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user rolls Damage
The user loses a Tick of Hit Points, and gains a bonus to the triggering damage roll equal to 5 + their Tick Value. Solar Power may be activated ignoring Frequency while in Sunny Weather."
Solid Rock [Errata],Static,The user gains +5 Damage Reduction against Super-Effective damage. Defensive.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +5 Damage Reduction against Super-Effective damage. Defensive."
Sonic Courtship [Errata],Scene - Free Action,"Connection - Attract. The user may use Attract as if it had a range of “Burst 3, Sonic, Friendly”.",The user uses Attract,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user uses Attract
Connection - Attract. The user may use Attract as if it had a range of “Burst 3, Sonic, Friendly”."
Soothing Tone [Errata],Static,"Connection - Heal Bell. Whenever the user uses a Move that targets allies, those allies gain temporary Hit Points equal to the user’s Special Attack. This may affect a specific ally only once per Scene.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Heal Bell. Whenever the user uses a Move that targets allies, those allies gain temporary Hit Points equal to the user’s Special Attack. This may affect a specific ally only once per Scene."
Soulstealer [Errata],Scene - Free Action,"The user removes one Injury from themselves and gains Hit Points equal to 25% of their Max Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers Hit Points equal to 50% of the user’s Max Hit Points.",The user's attack causes a foe to Faint,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user's attack causes a foe to Faint
The user removes one Injury from themselves and gains Hit Points equal to 25% of their Max Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers Hit Points equal to 50% of the user’s Max Hit Points."
Sound Lance [Errata],Scene x2 - Swift Action,Connection – Supersonic. The target of Supersonic loses Hit Points equal to the user’s Special Attack. This occurs even if Supersonic misses.,The user uses Supersonic,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user uses Supersonic
Connection – Supersonic. The target of Supersonic loses Hit Points equal to the user’s Special Attack. This occurs even if Supersonic misses."
Spray Down [Errata],Scene x2 - Free Action,"The triggering attack’s target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",The user hits an airborne target with a ranged 1-target attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits an airborne target with a ranged 1-target attack
The triggering attack’s target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune."
Sprint [Errata],Scene - Swift Action,"The user gains +2 Speed Combat Stages.
Bonus: The user’s Overland Speed is increased by +2.",The user uses the Sprint Action during Combat,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user uses the Sprint Action during Combat
The user gains +2 Speed Combat Stages.
Bonus: The user’s Overland Speed is increased by +2."
Starlight [Errata],Daily - Swift Action,"The user may activate Starlight while exposed to moonlight or starlight to become Luminous. As a Swift Action, the user may expend the Luminous condition to gain +2 Special Defense CS and +2 Evasion for the rest of the Scene.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Starlight while exposed to moonlight or starlight to become Luminous. As a Swift Action, the user may expend the Luminous condition to gain +2 Special Defense CS and +2 Evasion for the rest of the Scene."
Starswirl [Errata],Scene - Swift Action,Connection – Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action.,,,2-16 Errata,"Keywords - 2-16 Errata
Connection – Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action."
Steadfast [Errata],At-Will - Free Action,"The user’s Speed is raised by +1 Combat Stage.
Bonus: The user’s Initiative is increased by +5.",The user would be Flinched,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user would be Flinched
The user’s Speed is raised by +1 Combat Stage.
Bonus: The user’s Initiative is increased by +5."
Stench [Errata],Static,"The Pokémon’s Moves Flinch Targets on a roll of 18+. If a move already has a chance of Flinching foes, the Effect Range is increased by +3 instead. Whenever the user Flinches a foe with an attack, that foe gains a -2 penalty to Accuracy Rolls for 1 full round.",,,2-16 Errata,"Keywords - 2-16 Errata
The Pokémon’s Moves Flinch Targets on a roll of 18+. If a move already has a chance of Flinching foes, the Effect Range is increased by +3 instead. Whenever the user Flinches a foe with an attack, that foe gains a -2 penalty to Accuracy Rolls for 1 full round."
Storm Drain [Errata],Scene - Free Action,"The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. the user’s Special Attack is then raised by +1 Combat Stage.
Bonus: The user is immune to the damage and effects of Water Type attacks. Defensive.",A ranged Water Type Move is used within 10 Meters of the user,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - A ranged Water Type Move is used within 10 Meters of the user
The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. the user’s Special Attack is then raised by +1 Combat Stage.
Bonus: The user is immune to the damage and effects of Water Type attacks. Defensive."
Sturdy [Errata],Static,"The user is immune to Moves with the Execute Keyword. If a single source of Damage or Hit Point Loss would cause the user to lose more than X Hit Points, the damage or Hit Point loss is instead reduced to X. X is equal to 50% of their Max Hit Points. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is immune to Moves with the Execute Keyword. If a single source of Damage or Hit Point Loss would cause the user to lose more than X Hit Points, the damage or Hit Point loss is instead reduced to X. X is equal to 50% of their Max Hit Points. Defensive."
Suction Cups [Errata],At-Will - Shift Action,"The user gains +5 Damage Reduction for 1 full round.
Bonus: The user is immune to Push effects. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +5 Damage Reduction for 1 full round.
Bonus: The user is immune to Push effects. Defensive."
Sumo Stance [Errata],At-Will - Shift Action,"The triggering foe is Pushed 1 meter away from the user and the user is immune to Push Effects for 1 full round.
Bonus: The user’s Weight Class is increased by +1.",The user hits a foe with a Melee Attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits a foe with a Melee Attack
The triggering foe is Pushed 1 meter away from the user and the user is immune to Push Effects for 1 full round.
Bonus: The user’s Weight Class is increased by +1."
Sunglow [Errata],Daily - Swift Action,"The user may activate Sunglow while exposed to sunlight to become Radiant. As a Swift Action, the user may expend the Radiant condition to gain +2 Attack CS and +2 Accuracy for the rest of the Scene.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Sunglow while exposed to sunlight to become Radiant. As a Swift Action, the user may expend the Radiant condition to gain +2 Attack CS and +2 Accuracy for the rest of the Scene."
Sun Blanket [Errata],Daily x5 - Swift Action,The user gains a Tick of Hit Points. Sun Blanket may only be triggered while the user is under 50% Hit Points or in Sunny Weather.,The user gains Initiative,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user gains Initiative
The user gains a Tick of Hit Points. Sun Blanket may only be triggered while the user is under 50% Hit Points or in Sunny Weather."
Swift Swim [Errata],Static,"While in Rainy Weather or under 50% Max Hit Points, the user’s Initiative is doubled.",,,2-16 Errata,"Keywords - 2-16 Errata
While in Rainy Weather or under 50% Max Hit Points, the user’s Initiative is doubled."
Symbiosis [Errata],Scene - Swift Action,"The user choses a Held Item they are holding. If the target is willing, they also gain the effects of the chosen item for the rest of the Scene. Items that are activated at a frequency may be activated independently by the user and the the target.",,An adjacent ally,2-16 Errata,"Keywords - 2-16 Errata
Target - An adjacent ally
The user choses a Held Item they are holding. If the target is willing, they also gain the effects of the chosen item for the rest of the Scene. Items that are activated at a frequency may be activated independently by the user and the the target."
Tangled Feet [Errata],Static,"While Confused or Slowed, the user gains +3 Evasion. The user is immune to the Vulnerable Condition.",,,2-16 Errata,"Keywords - 2-16 Errata
While Confused or Slowed, the user gains +3 Evasion. The user is immune to the Vulnerable Condition."
Telepathy [Errata],Static,"The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves."
Teravolt [Errata],Static,"The user’s Electric-Type Attacks ignore the effect of enemies’ Defensive Abilities, and if they would be resisted they deal neutral damage instead.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Electric-Type Attacks ignore the effect of enemies’ Defensive Abilities, and if they would be resisted they deal neutral damage instead."
Toxic Boost [Errata],Scene - Swift Action,"The user gains +3 Attack and Special Attack Combat Stages. Toxic Boost may only be used while Poisoned or Badly Poisoned.
Special: If the user has the Immunity Ability, they can still become Poisoned and Badly Poisoned but do not lose Hit Points from these conditions.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +3 Attack and Special Attack Combat Stages. Toxic Boost may only be used while Poisoned or Badly Poisoned.
Special: If the user has the Immunity Ability, they can still become Poisoned and Badly Poisoned but do not lose Hit Points from these conditions."
Transporter [Errata],Daily x3 - Free Action,Connection – Teleport. You activate Teleporter as if your Teleporter value were three times its normal value; or you may take one willing adjacent Pokémon or Trainer along with you as you teleport so long as you are touching them when you activate Transporter. You may expend two uses of Transporter at once to choose both effects,You Teleport,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - You Teleport
Connection – Teleport. You activate Teleporter as if your Teleporter value were three times its normal value; or you may take one willing adjacent Pokémon or Trainer along with you as you teleport so long as you are touching them when you activate Transporter. You may expend two uses of Transporter at once to choose both effects"
Turboblaze [Errata],Static,"The user’s Fire-Type Attacks ignore the effect of enemies’ Defensive Abilities, and if they would be resisted they deal neutral damage instead.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Fire-Type Attacks ignore the effect of enemies’ Defensive Abilities, and if they would be resisted they deal neutral damage instead."
Unburden [Errata],Static,"The default state of the user’s Speed is +2 Combat Stages. While holding a Held Item, the user’s Speed is lowered by 2 Combat Stages.",,,2-16 Errata,"Keywords - 2-16 Errata
The default state of the user’s Speed is +2 Combat Stages. While holding a Held Item, the user’s Speed is lowered by 2 Combat Stages."
Unnerve [Errata],At-Will - Swift Action,The target cannot gain positive Combat Stages or trade in Digestion Buffs for 1 full round.,A foe within 6 meters,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - A foe within 6 meters
The target cannot gain positive Combat Stages or trade in Digestion Buffs for 1 full round."
Whirlwind Kicks [Errata],Static,"Connection – Triple Kick. When the user uses the Moves “Rapid Spin” or “Triple Kick”, they have a range of “Burst 1”.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection – Triple Kick. When the user uses the Moves “Rapid Spin” or “Triple Kick”, they have a range of “Burst 1”."
Windveiled [Errata],Static,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user gains +1 Speed CS. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user gains +1 Speed CS. Defensive."
Zen Mode [Errata],Scene - Swift Action,"The user changes into Zen Mode forme for the rest of the Scene, and may use the Moves “Flamethrower” and “Psychic” as if they were on its Move List.",,,2-16 Errata,"Keywords - 2-16 Errata
The user changes into Zen Mode forme for the rest of the Scene, and may use the Moves “Flamethrower” and “Psychic” as if they were on its Move List."
Aqua Bullet,Static,"Connection - Aqua Jet. The user may use Water-Type Moves as a Full Action to gain Sky 10 and shift in a straight line before attempting to use their Move. When shifting this way, the user does not provoke attacks of opportunity.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Aqua Jet. The user may use Water-Type Moves as a Full Action to gain Sky 10 and shift in a straight line before attempting to use their Move. When shifting this way, the user does not provoke attacks of opportunity."
Designer,At-Wiil - Extended Action,"The user is adept at crafting clothes for itself out of common leaves. When activating this ability to create a leaf suit, the user may choose two Types; the user resists the chosen types one step further while wearing that suit. The user may only have one leaf suit at a time, and creating a new suit destroys the old one.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is adept at crafting clothes for itself out of common leaves. When activating this ability to create a leaf suit, the user may choose two Types; the user resists the chosen types one step further while wearing that suit. The user may only have one leaf suit at a time, and creating a new suit destroys the old one."
Combo Striker,At-Will - Free Action,"After the triggering attack is resolved, the user may use a Struggle Attack as a Free Action.
Note: Yes, Struggle Attacks made due to Combo Striker may trigger Combo Striker.","The user rolls a natural 1, 10, or 11 on an attack roll with a damaging move",,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user rolls a natural 1, 10, or 11 on an attack roll with a damaging move
After the triggering attack is resolved, the user may use a Struggle Attack as a Free Action.
Note: Yes, Struggle Attacks made due to Combo Striker may trigger Combo Striker."
Dream Smoke,Scene - Free Action,The attacking foe falls Asleep.,The user is hit by a Melee Attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user is hit by a Melee Attack
The attacking foe falls Asleep."
Empower,Scene - Swift Action,The user may use a self-targeting Status-Class Move as a Free Action.,,,2-16 Errata,"Keywords - 2-16 Errata
The user may use a self-targeting Status-Class Move as a Free Action."
Flower Power,Static,The user may perform damaging Grass Type Moves as if they were their choice of either Physical or Special.,,,2-16 Errata,"Keywords - 2-16 Errata
The user may perform damaging Grass Type Moves as if they were their choice of either Physical or Special."
Full Guard,Scene - Swift Action,"You resist the triggering Damage one step further.
Bonus: Whenever you take Super-Effective Damage and you have no Temporary Hit Points, you gain a tick of Temporary Hit Points. Defensive.",You take Damage while having Temporary Hit Points,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - You take Damage while having Temporary Hit Points
You resist the triggering Damage one step further.
Bonus: Whenever you take Super-Effective Damage and you have no Temporary Hit Points, you gain a tick of Temporary Hit Points. Defensive."
Giver,Scene x2 - Swift Action,"Connection - Present. After rolling to determine Present’s Damage Base, you may choose to ignore the roll and act as if you had rolled a 1 or a 5.
Bonus: The user may know any number of TM and Tutor Moves, instead of a maximum of three.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Present. After rolling to determine Present’s Damage Base, you may choose to ignore the roll and act as if you had rolled a 1 or a 5.
Bonus: The user may know any number of TM and Tutor Moves, instead of a maximum of three."
Heliovolt,At-Will - Swift Action,"For 1 full round, the user gains +1 Evasion and is considered to be in Sunny Weather.",The user uses an Electric-Type Move,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user uses an Electric-Type Move
For 1 full round, the user gains +1 Evasion and is considered to be in Sunny Weather."
Juicy Energy,Daily - Free Action,"Instead of gaining 30 Hit Points, the user gains Hit Points equal to their Level.",The user trades in a Berry Juice Food Buff,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user trades in a Berry Juice Food Buff
Instead of gaining 30 Hit Points, the user gains Hit Points equal to their Level."
Lancer,Static,"During their turn, if the user Shifts at least 3 meters, they gain a +3 Bonus to Critical Hit Range until the beginning of their next turn. If they do not Shift or Disengage at all, they gain +5 Damage Reduction until the beginning of their next turn.",,,2-16 Errata,"Keywords - 2-16 Errata
During their turn, if the user Shifts at least 3 meters, they gain a +3 Bonus to Critical Hit Range until the beginning of their next turn. If they do not Shift or Disengage at all, they gain +5 Damage Reduction until the beginning of their next turn."
Leaf Rush,"Scene x2 - Free Action, Priority","The user may activate Leaf Rush to use a Grass-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Leaf Rush to use a Grass-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll."
Leafy Cloak,Static,"Whenever the user activates Leafy Cloak, they choose two of Chlorophyll, Leaf Guard, or Overcoat. Until the user activates Leafy Cloak again, they gain the chosen Abilities.",,,2-16 Errata,"Keywords - 2-16 Errata
Whenever the user activates Leafy Cloak, they choose two of Chlorophyll, Leaf Guard, or Overcoat. Until the user activates Leafy Cloak again, they gain the chosen Abilities."
Line Charge,Static,"The user can only shift in cardinal directions on the grid. However, they do not provoke attacks of opportunity from Shifting.",,,2-16 Errata,"Keywords - 2-16 Errata
The user can only shift in cardinal directions on the grid. However, they do not provoke attacks of opportunity from Shifting."
Maestrom Pulse,"Scene x2 - Free Action, Priority","The user may activate Maelstrom Pulse to use a Water-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Maelstrom Pulse to use a Water-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll."
Nimble Strikes,Static,The user adds half their Speed Stat to the Damage Rolls of their physical Normal-Type Moves.,,,2-16 Errata,"Keywords - 2-16 Errata
The user adds half their Speed Stat to the Damage Rolls of their physical Normal-Type Moves."
Ragelope,Static,"The user’s Physical Attacks gain the following Effect Range: On 18+, the user becomes Enraged and gains +1 Speed CS. If the user is already Enraged, they gain +1 Attack CS instead.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Physical Attacks gain the following Effect Range: On 18+, the user becomes Enraged and gains +1 Speed CS. If the user is already Enraged, they gain +1 Attack CS instead."
Sacred Bell,Static,The user resists Dark and Ghost-Type Damage one step further.,,,2-16 Errata,"Keywords - 2-16 Errata
The user resists Dark and Ghost-Type Damage one step further."
Seasonal,Static,"The user gains an Ability based on the season.
-Spring: Run Away
-Summer: Grass Pelt
-Autumn: Rivalry
-Winter: Thick Fat",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains an Ability based on the season.
-Spring: Run Away
-Summer: Grass Pelt
-Autumn: Rivalry
-Winter: Thick Fat"
Snuggle,Scene - Standard Action,The user and the target each gain two ticks of Temporary Hit Points.,,An adjacent target,2-16 Errata,"Keywords - 2-16 Errata
Target - An adjacent target
The user and the target each gain two ticks of Temporary Hit Points."
Sol Veil,Static,"The user gains +1 Evasion. This is increased to +2 Evasion while in Sunny Weather or on grassy terrain. While in Sunny Weather, the user gains +5 Damage Reduction.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +1 Evasion. This is increased to +2 Evasion while in Sunny Weather or on grassy terrain. While in Sunny Weather, the user gains +5 Damage Reduction."
Sorcery,Static,"The user’s Base Special Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Base Special Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way."
Spike Shot,Static,"The user may use Moves with a Range of “Melee, 1-Target” as if they had a Range of “8, 1-Target” instead.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may use Moves with a Range of “Melee, 1-Target” as if they had a Range of “8, 1-Target” instead."
Tingle,At-Will - Free Action,The target loses a Tick of Hit Points and takes a -5 penalty to Damage Rolls for 1 full round.,The user hits an adjacent target foe with a 1-Target attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits an adjacent target foe with a 1-Target attack
The target loses a Tick of Hit Points and takes a -5 penalty to Damage Rolls for 1 full round."
Tonguelash,Scene x2 - Free Action,"Connection – Lick. Lick automatically Paralyzes and Flinches its target.
Bonus: The user may use Lick as if it was Normal-Typed.",The user hits a target with Lick,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits a target with Lick
Connection – Lick. Lick automatically Paralyzes and Flinches its target.
Bonus: The user may use Lick as if it was Normal-Typed."
Trinity,Static,"Connection - Tri Attack. You may use Tri Attack as if it had a range of “Melee, 3 Targets”. Make a different attack roll for each target. If Tri-Attack’s effect range is activated, do not roll for the effect; the first target can only be Frozen, the second can only be Burned, and the third can only be Paralyzed. Additionally, you may use Tri-Attack as a Physical Attack if you wish.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Tri Attack. You may use Tri Attack as if it had a range of “Melee, 3 Targets”. Make a different attack roll for each target. If Tri-Attack’s effect range is activated, do not roll for the effect; the first target can only be Frozen, the second can only be Burned, and the third can only be Paralyzed. Additionally, you may use Tri-Attack as a Physical Attack if you wish."
Type Aura,Static,The user and all allies within 3 meters gain a +5 Bonus to Damage Rolls with Moves matching the user’s Primary Type.,,,2-16 Errata,"Keywords - 2-16 Errata
The user and all allies within 3 meters gain a +5 Bonus to Damage Rolls with Moves matching the user’s Primary Type."
Weird Power,Static,"If the user’s Attack is higher than its Special Attack, the user may add its Attack Stat to its Special Damage Rolls. If their Special Attack is higher, they user may add its Special Attack Stat to its Physical Damage Rolls. This does not stack with Mixed Power.",,,2-16 Errata,"Keywords - 2-16 Errata
If the user’s Attack is higher than its Special Attack, the user may add its Attack Stat to its Special Damage Rolls. If their Special Attack is higher, they user may add its Special Attack Stat to its Physical Damage Rolls. This does not stack with Mixed Power."
Accelerate,"Scene x2 - Standard Action, Priority","The user may activate a damaging Move to which they add STAB with Priority. If the Move hits, the user adds half their Speed Stat to the Damage Roll. If the Move already had Priority, the attack gains a +4 Bonus to Accuracy.",,,,"The user may activate a damaging Move to which they add STAB with Priority. If the Move hits, the user adds half their Speed Stat to the Damage Roll. If the Move already had Priority, the attack gains a +4 Bonus to Accuracy."
Anchored,Static,"Dhelmise has an Anchor token on the field, which occupies one square as if it is Medium sized but is otherwise ignored for cover and targeting. Dhelmise cannot move or be moved more than 3 meters away from its Anchor, willingly or otherwise. The Anchor token itself cannot be pushed, pulled, or moved against Dhelmise's will in any way. Dhelmise may shift their Anchor Token as a Swift Action, moving it to any open space within 3 meters of itself.
Bonus: When the user Shifts the Anchor, it may immediately afterwards originate a damaging attack from its
Anchor if it has the appropriate action available, giving that attack the following properties: the attack's range changes to ""Melee, 1 Target"", the attack deals +2d6 damage, and the attack's Class changes to Physical if it wasn't already.",,,,"Dhelmise has an Anchor token on the field, which occupies one square as if it is Medium sized but is otherwise ignored for cover and targeting. Dhelmise cannot move or be moved more than 3 meters away from its Anchor, willingly or otherwise. The Anchor token itself cannot be pushed, pulled, or moved against Dhelmise's will in any way. Dhelmise may shift their Anchor Token as a Swift Action, moving it to any open space within 3 meters of itself.
Bonus: When the user Shifts the Anchor, it may immediately afterwards originate a damaging attack from its
Anchor if it has the appropriate action available, giving that attack the following properties: the attack's range changes to ""Melee, 1 Target"", the attack deals +2d6 damage, and the attack's Class changes to Physical if it wasn't already."
Battery,Scene x2 - Swift Action,"The target's next Special Attack deals +2d6+4 damage. If that attack is Electric-Typed, it deals +3d6+6 more damage instead.",,An adjacent Ally.,,"Target - An adjacent Ally.
The target's next Special Attack deals +2d6+4 damage. If that attack is Electric-Typed, it deals +3d6+6 more damage instead."
Berserk,At-Will - Free Action,The user receives +1 Special Attack Combat Stage.,"The user drops to half HP or below for the first time in an encounter, or becomes Enraged",,,"Trigger - The user drops to half HP or below for the first time in an encounter, or becomes Enraged
The user receives +1 Special Attack Combat Stage."
Beast Boost,At-Will - Free Action,The user receives +1 Combat Stage in their highest non-HP stat.,The user’s Damaging Attack causes an opponent to Faint,,,"Trigger - The user’s Damaging Attack causes an opponent to Faint
The user receives +1 Combat Stage in their highest non-HP stat."
Dancer,Scene x2 - Free Action,The user may immediately use the triggering Move as a free action.,Someone within 10 meters uses a Status-Class Dance Move.,,,"Trigger - Someone within 10 meters uses a Status-Class Dance Move.
The user may immediately use the triggering Move as a free action."
DIsguise,Daily - Free Action, The triggering attack attack instead misses and has no effect. The user then gains +1 CS in a Stat of their choice. [Defensive],The user is hit by a damaging Move.,,,"Trigger - The user is hit by a damaging Move.
 The triggering attack attack instead misses and has no effect. The user then gains +1 CS in a Stat of their choice. [Defensive]"
Dazzling,Scene x2 - Swift Action,"For the rest of the Scene, the target's Initiative is lowered by 10 and cannot use Priority Moves.Bonus: Interrupt Moves may not be declared in response to the user's actions.",,An adjacent foe,,"Target - An adjacent foe
For the rest of the Scene, the target's Initiative is lowered by 10 and cannot use Priority Moves.Bonus: Interrupt Moves may not be declared in response to the user's actions."
Chemical Romance,Static," Connection - Sweet Scent. Whenever the user hits a male target with Poison Gas, Smog, Sweet Scent, Toxic, or Venom Drench, that target becomes Infatuated with the user.",,,," Connection - Sweet Scent. Whenever the user hits a male target with Poison Gas, Smog, Sweet Scent, Toxic, or Venom Drench, that target becomes Infatuated with the user."
Comatose,At-Will - Shift Action,"The user falls Asleep, and regains a Tick of Hit Points.Bonus: The user may act normally while Asleep and ignores all other penalties from being Asleep. While Asleep, the user does not make Save Checks to wake up, and wakes up from being hit only if they want to.",,,,"The user falls Asleep, and regains a Tick of Hit Points.Bonus: The user may act normally while Asleep and ignores all other penalties from being Asleep. While Asleep, the user does not make Save Checks to wake up, and wakes up from being hit only if they want to."
Corrosion,Static," The user's Poison-Type attacks are resisted one step less, and deal damage to Immune targetsas if they were doubly resisted. The user may Poison and Badly Poison Steel and Poison-Type Pokemon.",,,," The user's Poison-Type attacks are resisted one step less, and deal damage to Immune targetsas if they were doubly resisted. The user may Poison and Badly Poison Steel and Poison-Type Pokemon."
Electric Surge,Scene x3 - Swift Action,"The Field becomes Electrified, as if affected by the Move Electric Terrain, for one full round.",,,,"The Field becomes Electrified, as if affected by the Move Electric Terrain, for one full round."
Emergency Exit,Scene - Free Action,"When the user’s Hit Points drop below half their maximum, their trainer may immediately recall the user and send out another Pokemon as a Free Action. If the user hasn’t taken their turn yet, their replacement may act this round. [Defensive]Bonus: The user is immune to Trapped.",,,,"When the user’s Hit Points drop below half their maximum, their trainer may immediately recall the user and send out another Pokemon as a Free Action. If the user hasn’t taken their turn yet, their replacement may act this round. [Defensive]Bonus: The user is immune to Trapped."
Fluffy,Static," The user resists damaging Melee attacks one step further, but resists Fire-Type attacks one step less. [Defensive]",,,," The user resists damaging Melee attacks one step further, but resists Fire-Type attacks one step less. [Defensive]"
Full Metal Body,Static,"The user’s Combat Stages may not be lowered by the effect of foes’ Feautres, Abilities, or Moves. Status Affictions may still alter their Combat Stages. Defensive.",,,,"The user’s Combat Stages may not be lowered by the effect of foes’ Feautres, Abilities, or Moves. Status Affictions may still alter their Combat Stages. Defensive."
Galvanize,At-Will - Free Action," If the user attacks with a Normal-Type Move, that Move is Electric-Type instead.",,,," If the user attacks with a Normal-Type Move, that Move is Electric-Type instead."
Glisten,Static,"The user is immune to Fairy-Type attacks. Defensive.Bonus: If the user is hit by a damaging Fairy-Type attack, they receive +1 Defense or Special DefenseCombat Stages.",,,,"The user is immune to Fairy-Type attacks. Defensive.Bonus: If the user is hit by a damaging Fairy-Type attack, they receive +1 Defense or Special DefenseCombat Stages."
Grassy Surge,Scene x3 - Swift Action,"The Field becomes Grassy, as if affected by the Move Grassy Terrain, for one full round.",,,,"The Field becomes Grassy, as if affected by the Move Grassy Terrain, for one full round."
Handyman,Static,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items, you may choose which one is affected.",,,,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items, you may choose which one is affected."
Horde Break,At-Will - Free Action,The user is cured of all Status Conditions.,The user changes from School Form to Solo Form,,,"Trigger - The user changes from School Form to Solo Form
The user is cured of all Status Conditions."
Innards Out,Scene x2 - Free Action,"The user resists the triggering attack one step further. After the attack is resolved, a foe within 2 meters loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack, even if the triggering attack caused the user to Faint.",The user is hit by a damaging attack,,,"Trigger - The user is hit by a damaging attack
The user resists the triggering attack one step further. After the attack is resolved, a foe within 2 meters loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack, even if the triggering attack caused the user to Faint."
Liquid Voice,At-Will - Free Action,"The triggering move loses the [Sonic] keyword, but gains the Friendly keyword and becomes Water Typed. If the Move was a Status Class Move, you may treat it as a Special Move with DB1.",The user uses a Move with the [Sonic] keyword,,,"Trigger - The user uses a Move with the [Sonic] keyword
The triggering move loses the [Sonic] keyword, but gains the Friendly keyword and becomes Water Typed. If the Move was a Status Class Move, you may treat it as a Special Move with DB1."
