Pokemon:,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type 1,Type 2,Overland,Sky,Swim,Levitate,Burrow,H Jump,L Jump,Power,Naturewalk,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 6,Capability 7,Capability 8,Capability 9,Size,Weight,EggGroup1,EggGroup2,Type1,Type2
Bruxish,7,11,7,7,7,9,Water,Psychic,1,0,6,0,0,2,2,5,-,Gilled,Telekinesis,-,-,-,-,-,-,-,Small,2,-,-,Water,Psychic
Drampa,8,6,9,14,9,4,Normal,Dragon,6,4,4,0,0,2,2,6,-,Mountable 2,Reach,-,-,-,-,-,-,-,Huge,5,Monster,Dragon,Normal,Dragon
Dhelmise,7,13,10,9,9,4,Grass,Ghost,1,0,5,4,0,1,0,7,-,Darkvision,Dead Silent,Gilled,-,-,-,-,-,-,Huge,6,Mineral,-,Grass,Ghost
Jangmo-o,5,6,7,5,5,5,Dragon,,4,0,2,0,0,1,1,3,Mountain,Underdog,-,-,-,-,-,-,-,-,Small,3,Dragon,-,Dragon,
Jangmoo,5,6,7,5,5,5,Dragon,,4,0,2,0,0,1,1,3,Mountain,Underdog,-,-,-,-,-,-,-,-,Small,3,Dragon,-,Dragon,
Hakamo-o,6,8,9,7,7,7,Dragon,Fight,6,0,3,0,0,1,1,6,Mountain,Underdog,-,-,-,-,-,-,-,-,Medium,3,Dragon,-,Dragon,Fighting
Hakamoo,6,8,9,7,7,7,Dragon,Fight,6,0,3,0,0,1,1,6,Mountain,Underdog,-,-,-,-,-,-,-,-,Medium,3,Dragon,-,Dragon,Fighting
Kommo-o,8,11,13,10,11,9,Dragon,Fight,8,0,4,0,0,2,1,9,Mountain,-,-,-,-,-,-,-,-,-,Medium,4,Dragon,-,Dragon,Fighting
Kommoo,8,11,13,10,11,9,Dragon,Fight,8,0,4,0,0,2,1,9,Mountain,-,-,-,-,-,-,-,-,-,Medium,4,Dragon,-,Dragon,Fighting
Tapu Koko,7,12,9,10,8,13,Electric,Fairy,6,10,3,0,0,3,3,6,-,Aura Reader,Zapper,-,-,-,-,-,-,-,Medium,2,None,-,Electric,Fairy
Tapu Lele,7,9,8,13,12,10,Psychic,Fairy,4,8,5,0,0,2,2,4,-,Aura Reader,Telekinetic,-,-,-,-,-,-,-,Medium,2,None,-,Psychic,Fairy
Tapu Bulu,7,13,12,9,10,8,Grass,Fairy,6,6,5,0,0,1,1,9,-,Aura Reader,Gardener,Sprouter,-,-,-,-,-,-,Large,3,None,-,Grass,Fairy
Tapu Fini,7,8,12,10,13,9,Water,Fairy,4,8,8,0,0,1,1,4,-,Aura Reader,Fountain,-,-,-,-,-,-,-,Medium,2,None,-,Water,Fairy
Cosmog,4,3,3,3,3,4,Psychic,,2,0,1,4,0,1,1,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,None,-,Psychic,
Cosmoem,4,3,13,3,13,4,Psychic,,1,0,1,3,0,0,0,1,-,Heater,-,-,-,-,-,-,-,-,Small,6,None,-,Psychic,
Solgaleo,14,14,11,11,9,10,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Glow,Mountable 2,-,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Lunala,14,11,9,14,11,10,Psychic,Ghost,4,10,2,0,0,2,2,8,-,Darkvision,Invisibility,Phasing,Stealth,Mountable 2,-,-,-,-,Huge,5,None,-,Psychic,Ghost
Nihilego,11,5,5,13,13,10,Rock,Poison,3,0,5,6,0,1,1,2,-,Dead Silent,Chilled,-,-,-,-,-,-,-,Medium,3,None,-,Rock,Poison
Buzzwole,11,14,14,5,5,8,Bug,Fight,7,5,3,0,0,2,2,12,-,-,-,-,-,-,-,-,-,-,Large,6,None,-,Bug,Fighting
Pheromosa,7,14,4,14,4,15,Bug,Fight,12,0,6,0,0,2,2,6,-,Wallclimber,-,-,-,-,-,-,-,-,Medium,3,None,-,Bug,Fighting
Xurkitree,8,9,7,17,7,8,Electric,,7,0,3,0,0,2,3,9,-,Glow,Reach,Zapper,-,-,-,-,-,-,Huge,5,None,-,Electric,
Celesteela,10,10,10,11,10,6,Steel,Flying,6,10,3,0,0,1,1,8,-,Firestarter,-,-,-,-,-,-,-,-,Gigantic,6,None,-,Steel,Flying
Kartana,6,18,13,6,3,11,Grass,Steel,4,0,2,6,0,1,1,7,-,-,-,-,-,-,-,-,-,-,Small,1,None,-,Grass,Steel
Guzzlord,22,10,5,10,5,4,Dragon,Dark,8,0,4,0,8,0,1,12,-,Darkvision,Groundshaper,Reach,-,-,-,-,-,-,Huge,6,None,-,Dragon,Dark
Necrozma,10,11,10,13,9,8,Psychic,,6,10,3,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Large,6,None,-,Psychic,
Necrozma Dusk,10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma (Dusk),10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma-Dusk,10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma Du,10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma (Du),10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma-Du,10,16,13,11,11,8,Psychic,Steel,10,0,5,0,0,3,3,14,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Steel
Necrozma Dawn,10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Necrozma (Dawn),10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Necrozma-Dawn,10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Necrozma Da,10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Necrozma (Da),10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Necrozma-Da,10,11,11,16,13,8,Psychic,Ghost,4,10,2,0,0,2,2,9,-,Darkvision,Dead Silent,Mindlock,Viral Fusion,-,-,-,-,-,Huge,6,None,-,Psychic,Ghost
Zygarde 10%,5,10,7,6,9,12,Dragon,Ground,9,0,6,0,3,3,3,5,-,Darkvision,Groundshaper,Tremorsense,Zygarde Cells,Forme Change,-,-,-,-,Medium,3,None,-,Dragon,Ground
Zygarde-10%,5,10,7,6,9,12,Dragon,Ground,9,0,6,0,3,3,3,5,-,Darkvision,Groundshaper,Tremorsense,Zygarde Cells,Forme Change,-,-,-,-,Medium,3,None,-,Dragon,Ground
Zygarde Complete,22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Zygarde (Complete),22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Zygarde-Complete,22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Zygarde C,22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Zygarde (C),22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Zygarde-C,22,10,12,9,10,9,Dragon,Ground,8,0,6,0,3,3,3,16,-,Darkvision,Groundshaper,Tremorsense,Reach,Forme Change,Zygarde Cells,-,-,-,Huge,6,None,-,Dragon,Ground
Magearna,8,10,12,13,12,7,Steel,Fairy,6,0,3,0,0,1,1,6,-,Aura Reader,Dead Silent,Telepath,-,-,-,-,-,-,Medium,4,None,-,Steel,Fairy
Marshadow,9,13,8,9,9,13,Fight,Ghost,6,0,3,0,0,1,1,7,-,Darkvision,Dead Silent,Invisibility,Phasing,Shadow Meld,Stealth,-,-,-,Small,2,None,-,Fighting,Ghost
Volcanion,8,11,12,13,9,7,Fire,Water,7,6,6,0,0,1,1,8,-,Firestarter,Fountain,Heater,Egg Warmer,-,-,-,-,-,Medium,5,None,-,Fire,Water
Poipole,7,7,7,7,7,7,Poison,,4,0,2,5,0,1,1,5,-,Underdog,-,-,-,-,-,-,-,-,Small,1,None,-,Poison,
Naganadel,7,7,7,13,7,12,Poison,Dragon,2,7,2,0,0,1,1,8,-,-,-,-,-,-,-,-,-,-,Huge,5,None,-,Poison,Dragon
Stakataka,6,13,21,5,10,1,Rock,Steel,4,0,2,0,0,1,1,10,-,Mindlock,Reach,-,-,-,-,-,-,-,Huge,6,None,-,Rock,Steel
Blacephalon,5,13,5,15,8,11,Fire,Ghost,7,0,5,0,0,2,2,5,-,Firestarter,Glow,Volatile Bomb,-,-,-,-,-,-,Medium,2,None,-,Fire,Ghost
Zeraora,9,11,8,10,8,14,Electric,,7,0,4,0,0,2,2,7,Forest,Zapper,-,-,-,-,-,-,-,-,Medium,3,None,-,Electric,
Grookey,5,7,5,4,4,7,,,5,0,3,0,0,2,2,2,Forest,Pack Mon,Underdog,-,-,-,-,-,-,-,Small,1,Field,Plant,Grass,
Thwackey,7,9,7,6,6,8,,,7,0,4,0,0,3,3,3,Forest,Pack Mon,Underdog,-,-,-,-,-,-,-,Small,2,Field,Plant,Grass,
Rillaboom,10,13,9,6,7,9,,,8,0,5,0,0,3,3,8,Forest,Pack Mon,-,-,-,-,-,-,-,-,Large,4,Field,Plant,Grass,
Scorbunny,5,7,4,4,4,7,Fire,,5,0,2,0,0,2,2,2,Grassland,Firestarter,Underdog,-,-,-,-,-,-,-,Small,1,Field,Humanshape,Fire,
Raboot,7,9,6,6,6,9,Fire,,7,0,4,0,0,3,3,4,Grassland,Firestarter,Underdog,-,-,-,-,-,-,-,Small,1,Field,Humanshape,Fire,
Cinderace,8,12,8,7,8,12,Fire,,9,0,5,0,0,3,3,6,Grassland,Firestarter,-,-,-,-,-,-,-,-,Medium,3,Field,Humanshape,Fire,
Sobble,5,4,4,7,4,7,,,4,0,4,0,0,2,2,2,-,Blender,Fountain,Gilled,Underdog,-,-,-,-,-,Small,1,Water 1,Field,Water,
Drizzile,7,6,6,10,6,9,,,5,0,5,0,0,2,2,4,-,Blender,Fountain,Gilled,Wallclimber,Underdog,-,-,-,-,Small,2,Water 1,Field,Water,
Inteleon,7,9,7,13,7,12,,,7,0,6,0,0,3,6,5,-,Blender,Fountain,Gilled,Stealth,Wallclimber,-,-,-,-,Medium,3,Water 1,Field,Water,
Skwovet,7,6,6,4,4,3,Normal,,5,0,2,0,0,1,1,2,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,
Greedent,12,10,10,6,8,2,Normal,,6,0,3,0,0,2,2,3,-,-,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,
Rookidee,4,5,4,3,4,6,,,2,4,2,0,0,2,2,1,-,Guster,Underdog,-,-,-,-,-,-,-,Small,1,Flying,-,Flying,
Corvisquire,7,7,6,4,6,8,,,3,6,2,0,0,3,3,3,-,Guster,Underdog,-,-,-,-,-,-,-,Small,2,Flying,-,Flying,
Corviknight,10,9,11,5,9,7,,,3,8,2,0,0,4,4,7,-,Guster,Mountable 2,-,-,-,-,-,-,-,Large,4,Flying,-,Flying,Steel
Blipbug,3,2,2,3,5,5,,,4,0,2,0,0,1,1,1,Grassland,Threaded,Wallclimber,Underdog,-,-,-,-,-,-,Small,1,Bug,-,Bug,
Dottler,5,4,8,5,9,3,,,4,0,2,0,0,1,1,1,Grassland,Glow,Telepath,Threaded,Wallclimber,Underdog,-,-,-,-,Small,2,Bug,-,Bug,Psychic
Orbeetle,6,5,11,8,12,9,,,5,7,2,0,0,2,2,3,Grassland,Glow,Telepath,Threaded,Wallclimber,-,-,-,-,-,Small,3,Bug,-,Bug,Psychic
Nickit,4,3,3,5,5,5,,,5,0,3,0,0,1,1,2,"Forest, Urban",Darkvision,Stealth,Underdog,-,-,-,-,-,-,Small,1,Field,-,Dark,
Thievul,7,6,6,9,9,9,,,7,0,4,0,0,2,2,5,"Forest, Urban",Darkvision,Stealth,Tracker,-,-,-,-,-,-,Medium,2,Field,-,Dark,
Gossifleur,4,4,6,4,6,1,,,2,0,2,4,0,1,1,1,-,Alluring,Underdog,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,
Eldegoss,6,5,9,8,12,6,,,2,0,2,3,0,1,1,1,-,Alluring,Gardener,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,
Wooloo,4,4,6,4,5,5,Normal,,4,0,1,0,0,1,1,4,Grassland,Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,
Dubwool,7,8,10,6,9,9,Normal,,7,0,3,0,0,2,2,7,Grassland,-,-,-,-,-,-,-,-,-,Medium,3,Field,-,Normal,
Chewtle,5,6,5,4,4,4,,,4,0,4,0,0,0,1,4,-,Fountain,Gilled,Underdog,-,-,-,-,-,-,Small,1,Monster,Water 1,Water,
Drednaw,9,12,9,5,7,7,,,6,0,5,0,0,0,1,8,-,Fountain,Gilled,Reach,-,-,-,-,-,-,Medium,5,Monster,Water 1,Water,Rock
Yamper,6,5,5,4,5,3,,,5,0,4,0,0,1,1,2,-,Pack Mon,Tracker,Underdog,Zapper,-,-,-,-,-,Small,2,Field,-,Electric,
Boltund,7,9,6,9,6,12,,,7,0,5,0,0,2,2,5,-,Pack Mon,Tracker,Zapper,-,-,-,-,-,-,Medium,3,Field,-,Electric,
Rolycoly,3,4,5,4,5,3,,,5,0,1,0,0,0,1,3,Cave,Darkvision,Materializer,Underdog,-,-,-,-,-,-,Small,2,Mineral,-,Rock,
Carkol,8,6,9,6,7,5,,Fire,6,0,3,0,0,0,1,5,Cave,Darkvision,Firestarter,Glow,Heater,Materializer,Underdog,-,-,-,Medium,4,Mineral,-,Rock,Fire
Coalossal,11,8,12,8,9,3,,Fire,8,0,4,0,0,1,1,10,Cave,Darkvision,Firestarter,Glow,Heater,Materializer,-,-,-,-,Huge,6,Mineral,-,Rock,Fire
Applin,4,4,8,4,4,2,,,4,0,2,0,0,1,1,1,"Forest, Grassland",Stealth,Underdog,-,-,-,-,-,-,-,Small,1,Plant,Dragon,Grass,Dragon
Flapple,7,11,8,10,6,7,,,4,6,2,0,0,2,2,1,"Forest, Grassland",Guster,Stealth,-,-,-,-,-,-,-,Small,1,Plant,Dragon,Grass,Dragon
Appletun,11,9,8,10,8,3,,,6,0,4,0,0,1,1,2,"Forest, Grassland",Alluring,-,-,-,-,-,-,-,-,Small,2,Plant,Dragon,Grass,Dragon
Silicobra,5,6,8,4,5,5,,,5,0,3,0,5,1,1,2,Desert,Underdog,-,-,-,-,-,-,-,-,Medium,1,Field,Dragon,Ground,
Sandaconda,7,11,13,7,7,7,,,7,0,4,0,7,1,1,5,Desert,-,-,-,-,-,-,-,-,-,Large,4,Field,Dragon,Ground,
Cramorant,7,9,6,9,10,9,,,5,6,5,0,0,2,2,3,-,Guster,-,-,-,-,-,-,-,-,Small,2,Water 1,Flying,Flying,Water
Arrokuda,4,6,4,4,3,7,,,3,0,6,0,0,2,2,1,-,Fountain,Gilled,Underdog,-,-,-,-,-,-,Small,1,Water 2,-,Water,
Barraskewda,6,12,6,6,5,14,,,4,0,8,0,0,3,3,4,-,Fountain,Gilled,-,-,-,-,-,-,-,Medium,3,Water 2,-,Water,
Toxel,4,4,4,5,4,4,,,4,0,3,0,0,1,1,2,Wetlands,Glow,Underdog,Zapper,-,-,-,-,-,-,Small,2,Humanshape,-,Electric,Poison
Toxtricity,8,10,7,11,7,8,,,7,0,4,0,0,2,2,4,Wetlands,Glow,Zapper,-,-,-,-,-,-,-,Medium,3,Humanshape,-,Electric,Poison
Sizzlipede,5,7,5,5,5,5,Fire,,5,0,2,0,0,1,1,1,Forest,Egg Warmer,Firestarter,Heater,Underdog,Wallclimber,-,-,-,-,Small,1,Bug,-,Fire,Bug
Centiskorch,10,12,7,9,9,7,Fire,,8,0,4,0,0,2,2,7,Forest,Egg Warmer,Firestarter,Heater,Mountable 2,Wallclimber,-,-,-,-,Huge,5,Bug,-,Fire,Bug
Clobbopus,5,7,6,5,5,3,,,4,0,5,0,0,1,1,4,-,Gilled,Underdog,-,-,-,-,-,-,-,Small,1,Water 1,Humanshape,Fighting,
Grapploct,8,12,9,7,8,4,,,6,0,7,0,0,2,2,7,-,Gilled,-,-,-,-,-,-,-,-,Medium,3,Water 1,Humanshape,Fighting,
Sinistea,4,5,5,7,5,5,,,2,0,1,4,0,0,1,1,-,Darkvision,Dead Silent,Fountain,Phasing,Underdog,-,-,-,-,Small,1,Mineral,Indeterminate,Ghost,
Polteageist,6,7,7,13,11,7,,,2,0,1,6,0,0,1,1,-,Darkvision,Dead Silent,Fountain,Phasing,-,-,-,-,-,Small,1,Mineral,Indeterminate,Ghost,
Hatenna,4,3,5,6,5,4,,,5,0,2,0,0,1,1,1,Forest,Telekinetic,Telepath,Underdog,-,-,-,-,-,-,Small,1,Fairy,-,Psychic,
Hattrem,6,4,7,9,7,5,,,6,0,3,0,0,1,1,1,Forest,Telekinetic,Telepath,Underdog,-,-,-,-,-,-,Small,1,Fairy,-,Psychic,
Hatterene,6,9,10,14,10,3,,,8,0,4,0,0,2,2,3,Forest,Invisibility,Telekinetic,Telepath,-,-,-,-,-,-,Large,1,Fairy,-,Psychic,Fairy
Impidimp,5,5,3,6,4,5,,,5,0,3,0,0,1,1,1,Forest,Darkvision,Stealth,Underdog,-,-,-,-,-,-,Small,1,Fairy,Humanshape,Dark,Fairy
Morgrem,7,6,5,8,6,7,,,6,0,4,0,0,2,2,3,Forest,Darkvision,Stealth,Underdog,-,-,-,-,-,-,Small,2,Fairy,Humanshape,Dark,Fairy
Grimmsnarl,10,12,7,10,8,6,,,8,0,5,0,0,3,3,8,Forest,Darkvision,Stealth,-,-,-,-,-,-,-,Medium,4,Fairy,Humanshape,Dark,Fairy
Milcery,5,4,4,5,6,3,,,2,0,2,4,0,1,1,1,-,Alluring,Amorphous,Sticky Hold,Underdog,-,-,-,-,-,Small,1,Fairy,Indeterminate,Fairy,
Alcremie,7,6,8,11,12,6,,,2,0,2,6,0,2,2,2,-,Alluring,Amorphous,Sticky Hold,-,-,-,-,-,-,Small,1,Fairy,Indeterminate,Fairy,
Falinks,7,10,10,7,6,8,,,7,0,4,0,0,2,2,9,-,Mindlock,Pack Mon,-,-,-,-,-,-,-,Huge,4,Fairy,Mineral,Fighting,
Pincurchin,5,10,10,9,9,2,,,4,0,4,0,0,0,1,1,-,Amorphous,Gilled,Glow,Underdog,Zapper,-,-,-,-,Small,1,Water 1,Indeterminate,Electric,
Snom,3,3,4,5,3,2,,,4,0,2,0,0,1,1,1,Tundra,Chilled,Freezer,Threaded,Underdog,Wallclimber,-,-,-,-,Small,1,Bug,-,Ice,Bug
Frosmoth,7,7,6,13,9,7,,,3,7,2,0,0,2,2,3,Tundra,Chilled,Freezer,Threaded,Wallclimber,-,-,-,-,-,Medium,1,Bug,-,Ice,Bug
Stonjourner,10,13,14,2,2,7,,,8,0,3,0,0,2,2,9,Mountain,Groundshaper,Materializer,Telekinetic,-,-,-,-,-,-,Large,5,Mineral,-,Rock,
Eiscue I,8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue Ice,8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue-I,8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue-Ice,8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue (I),8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue (Ice),8,8,11,7,9,5,,,6,0,6,0,0,1,2,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue N,8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue Noice,8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue-N,8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue-Noice,8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue (N),8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Eiscue (Noice),8,8,7,7,5,13,,,8,0,8,0,0,2,3,4,Tundra,Chilled,Forme Change,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,
Indeedee M,6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee Male,6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee-M,6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee-Male,6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee (M),6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee (Male),6,7,6,11,10,10,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee F,7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee Female,7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee-F,7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee-Female,7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee (F),7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Indeedee (Female),7,6,7,10,11,9,,Normal,6,0,3,0,0,1,1,3,Forest,Telekinetic,Telepath,-,-,-,-,-,-,-,Small,3,Fairy,-,Psychic,Normal
Morpeko,6,10,6,7,6,10,,,7,0,4,0,0,1,1,4,Forest,Darkvision,Underdog,Zapper,-,-,-,-,-,-,Small,1,Field,Fairy,Electric,Dark
Cufant,7,8,5,4,5,4,,,5,0,2,0,0,0,1,8,Mountain,Groundshaper,Mountable 1,Underdog,-,-,-,-,-,-,Medium,5,Field,Mineral,Steel,
Copperajah,12,13,7,8,7,3,,,7,0,3,0,0,0,1,12,Mountain,Groundshaper,Mountable 2,-,-,-,-,-,-,-,Huge,6,Field,Mineral,Steel,
Dracozolt,9,10,9,8,7,8,,,8,0,3,0,0,2,2,7,"Forest, Grassland",Mountable 1,Zapper,-,-,-,-,-,-,-,Medium,5,None,-,Electric,Dragon
Arctozolt,9,10,9,9,8,6,,,6,0,6,0,0,2,2,6,Tundra,Chilled,Freezer,Mountable 1,Zapper,-,-,-,-,-,Large,5,None,-,Electric,Ice
Dracovish,9,9,10,7,8,8,,,8,0,5,0,0,2,2,6,Ocean,Fountain,Gilled,Mountable 1,-,-,-,-,-,-,Large,5,None,-,Water,Dragon
Arctovish,9,9,10,8,9,6,,,4,0,7,0,0,3,3,7,Tundra,Chilled,Freezer,Gilled,Mountable 2,-,-,-,-,-,Large,5,None,-,Water,Ice
Duraludon,7,10,12,12,5,9,,,7,0,3,0,0,2,3,8,Mountain,-,-,-,-,-,-,-,-,-,Medium,2,Mineral,Dragon,Steel,Dragon
Dreepy,3,6,3,4,3,8,,,2,4,4,0,0,1,1,1,-,Darkvision,Dead Silent,Invisibility,Phasing,Underdog,-,-,-,-,Small,1,Indeterminate,Dragon,Dragon,Ghost
Drakloak,7,8,5,6,5,10,,,3,6,6,0,0,2,2,3,-,Darkvision,Dead Silent,Invisibility,Phasing,Underdog,-,-,-,-,Medium,2,Indeterminate,Dragon,Dragon,Ghost
Dragapult,9,12,8,10,8,14,,,3,8,8,0,0,3,3,6,-,Darkvision,Dead Silent,Invisibility,Mountable 3,Phasing,-,-,-,-,Huge,4,Indeterminate,Dragon,Dragon,Ghost
Meowth Galarian,5,7,6,4,4,4,,,5,0,2,0,0,1,1,2,Forest,Fortune,Tracker,Underdog,-,-,-,-,-,-,Small,1,Field,-,Steel,
Perrserker,7,11,10,5,6,5,,,7,0,3,0,0,1,1,4,Forest,Fortune,Tracker,Underdog,-,-,-,-,-,-,Small,3,Field,-,Steel,
Ponyta Galarian,5,9,6,7,7,9,,,6,0,2,0,0,1,2,3,Forest,Telekinetic,Telepath,Underdog,-,-,-,-,-,-,Small,2,Field,-,Psychic,
Rapidash Galarian,7,10,7,8,8,11,,,10,0,4,0,0,2,3,6,Forest,Mountable 2,Telekinetic,Telepath,-,-,-,-,-,-,Medium,4,Field,-,Psychic,Fairy
